Below or Above,Budget Area,Below Minimum Wage,Wage Correction,Hrly Correction,Hrly Rate Bin Size,Hrly Correction (bin),Hrly Rate (bin),Hrly Rate Correction Bin Size,Hrly Rate,ID,레코드 수,Service Dt,Service Time in Years
Above,Finance,Above Minimum Wage,"-$19,789.2",$22.42,$22.00,$22.00,$22.00,$22.00,$22.42,672,1,1996-02-20,19.890410959
Above,Facilities,Above Minimum Wage,"-$33,330.4",$27.49,$27.00,$27.00,$27.00,$27.00,$27.49,918,1,1996-02-23,19.882191781
Above,Research & Development,Above Minimum Wage,"-$14,162.0",$20.31,$20.00,$20.00,$20.00,$20.00,$20.31,52,1,1996-03-01,19.860273973
Below,Facilities,Below Minimum Wage,"$11,348.3",$15.00,$10.00,$15.00,$10.00,$15.00,$10.75,357,1,1996-03-18,19.813698630
Below,Services,Below Minimum Wage,"$9,571.0",$15.00,$11.00,$15.00,$11.00,$15.00,$11.41,319,1,1996-04-01,19.778082192
Below,Services,Below Minimum Wage,"$9,629.8",$15.00,$11.00,$15.00,$11.00,$15.00,$11.39,316,1,1996-04-02,19.775342466
Below,Facilities,Below Minimum Wage,"$11,684.8",$15.00,$10.00,$15.00,$10.00,$15.00,$10.62,359,1,1996-05-10,19.671232877
Above,Marketing,Above Minimum Wage,"-$3,563.2",$16.34,$16.00,$16.00,$16.00,$16.00,$16.34,645,1,1996-05-25,19.630136986
Above,Services,Above Minimum Wage,"-$6,196.2",$17.32,$17.00,$17.00,$17.00,$17.00,$17.32,539,1,1996-06-10,19.589041096
Above,Finance,Above Minimum Wage,"-$13,644.1",$20.11,$20.00,$20.00,$20.00,$20.00,$20.11,197,1,1996-06-11,19.586301370
Above,Marketing,Above Minimum Wage,"-$15,072.4",$20.65,$20.00,$20.00,$20.00,$20.00,$20.65,729,1,1996-06-14,19.578082192
Above,Customer Service,Above Minimum Wage,"-$13,193.0",$19.95,$19.00,$19.00,$19.00,$19.00,$19.95,715,1,1996-06-21,19.558904110
Above,Logistics,Above Minimum Wage,"-$3,197.9",$16.20,$16.00,$16.00,$16.00,$16.00,$16.20,92,1,1996-07-01,19.531506849
Above,Services,Above Minimum Wage,"-$4,454.0",$16.67,$16.00,$16.00,$16.00,$16.00,$16.67,492,1,1996-07-01,19.531506849
Above,Marketing,Above Minimum Wage,"-$21,592.3",$23.09,$23.00,$23.00,$23.00,$23.00,$23.09,240,1,1996-07-24,19.468493151
Below,Facilities,Below Minimum Wage,"$6,173.7",$15.00,$12.00,$15.00,$12.00,$15.00,$12.69,483,1,1996-08-16,19.408219178
Above,Purchasing,Above Minimum Wage,"-$16,172.2",$21.06,$21.00,$21.00,$21.00,$21.00,$21.06,12,1,1996-08-19,19.4
Below,Services,Below Minimum Wage,$454.5,$15.00,$14.00,$15.00,$14.00,$15.00,$14.83,304,1,1996-08-23,19.389041096
Above,Human Resources,Above Minimum Wage,"-$15,274.1",$20.73,$20.00,$20.00,$20.00,$20.00,$20.73,8,1,1996-09-20,19.315068493
Above,Facilities,Above Minimum Wage,"-$19,420.6",$22.28,$22.00,$22.00,$22.00,$22.00,$22.28,891,1,1996-10-25,19.219178082
Above,Logistics,Above Minimum Wage,"-$3,932.5",$16.47,$16.00,$16.00,$16.00,$16.00,$16.47,73,1,1996-11-17,19.158904110
Above,Finance,Above Minimum Wage,"-$18,463.2",$21.92,$21.00,$21.00,$21.00,$21.00,$21.92,560,1,1997-01-24,18.975342466
Above,Research & Development,Above Minimum Wage,"-$1,426.2",$15.53,$15.00,$15.00,$15.00,$15.00,$15.53,656,1,1997-02-10,18.931506849
Above,Finance,Above Minimum Wage,"-$9,210.8",$18.45,$18.00,$18.00,$18.00,$18.00,$18.45,196,1,1997-03-04,18.865753425
Above,Human Resources,Above Minimum Wage,"-$25,888.0",$24.70,$24.00,$24.00,$24.00,$24.00,$24.70,131,1,1997-03-10,18.849315068
Above,Services,Above Minimum Wage,"-$4,601.7",$16.72,$16.00,$16.00,$16.00,$16.00,$16.72,756,1,1997-03-24,18.810958904
Above,Information Technology,Above Minimum Wage,"-$12,173.6",$19.56,$19.00,$19.00,$19.00,$19.00,$19.56,26,1,1997-04-04,18.783561644
Above,Services,Above Minimum Wage,"-$1,901.2",$15.71,$15.00,$15.00,$15.00,$15.00,$15.71,493,1,1997-04-14,18.756164384
Above,Facilities,Above Minimum Wage,"-$3,824.1",$16.43,$16.00,$16.00,$16.00,$16.00,$16.43,404,1,1997-04-28,18.717808219
Above,Services,Above Minimum Wage,"-$6,185.3",$17.32,$17.00,$17.00,$17.00,$17.00,$17.32,82,1,1997-06-02,18.624657534
Above,Facilities,Above Minimum Wage,"-$14,074.1",$20.28,$20.00,$20.00,$20.00,$20.00,$20.28,810,1,1997-06-13,18.594520548
Above,Facilities,Above Minimum Wage,"-$8,861.9",$18.32,$18.00,$18.00,$18.00,$18.00,$18.32,429,1,1997-06-19,18.578082192
Below,Services,Below Minimum Wage,"$10,982.8",$15.00,$10.00,$15.00,$10.00,$15.00,$10.88,320,1,1997-06-20,18.575342466
Above,Research & Development,Above Minimum Wage,"-$16,357.6",$21.13,$21.00,$21.00,$21.00,$21.00,$21.13,16,1,1997-06-30,18.547945205
Above,Facilities,Above Minimum Wage,"-$4,346.6",$16.63,$16.00,$16.00,$16.00,$16.00,$16.63,799,1,1997-07-07,18.528767123
Above,Finance,Above Minimum Wage,"-$13,634.6",$20.11,$20.00,$20.00,$20.00,$20.00,$20.11,767,1,1997-07-14,18.509589041
Below,Facilities,Below Minimum Wage,"$13,050.1",$15.00,$10.00,$15.00,$10.00,$15.00,$10.11,364,1,1997-07-25,18.479452055
Below,Facilities,Below Minimum Wage,"$10,466.7",$15.00,$11.00,$15.00,$11.00,$15.00,$11.08,362,1,1997-07-29,18.468493151
Above,Finance,Above Minimum Wage,"-$17,422.0",$21.53,$21.00,$21.00,$21.00,$21.00,$21.53,557,1,1997-08-04,18.454794521
Above,Marketing,Above Minimum Wage,"-$11,057.5",$19.14,$19.00,$19.00,$19.00,$19.00,$19.14,35,1,1997-08-08,18.443835616
Above,Marketing,Above Minimum Wage,"-$7,003.0",$17.63,$17.00,$17.00,$17.00,$17.00,$17.63,627,1,1997-09-22,18.323287671
Above,Services,Above Minimum Wage,"-$1,901.2",$15.71,$15.00,$15.00,$15.00,$15.00,$15.71,490,1,1997-09-22,18.323287671
Above,Human Resources,Above Minimum Wage,"-$25,778.9",$24.66,$24.00,$24.00,$24.00,$24.00,$24.66,127,1,1997-10-13,18.265753425
Above,Supply Chain,Above Minimum Wage,"-$1,332.2",$15.50,$15.00,$15.00,$15.00,$15.00,$15.50,571,1,1997-11-07,18.2
Above,Logistics,Above Minimum Wage,"-$5,443.9",$17.04,$17.00,$17.00,$17.00,$17.00,$17.04,541,1,1997-12-09,18.112328767
Above,Supply Chain,Above Minimum Wage,"-$9,610.1",$18.60,$18.00,$18.00,$18.00,$18.00,$18.60,248,1,1998-01-09,18.030136986
Above,Marketing,Above Minimum Wage,"-$10,914.4",$19.09,$19.00,$19.00,$19.00,$19.00,$19.09,628,1,1998-02-01,17.969863014
Above,Facilities,Above Minimum Wage,"-$1,652.0",$15.62,$15.00,$15.00,$15.00,$15.00,$15.62,426,1,1998-02-13,17.936986301
Above,Facilities,Above Minimum Wage,"-$2,899.0",$16.09,$16.00,$16.00,$16.00,$16.00,$16.09,814,1,1998-02-24,17.906849315
Above,Information Technology,Above Minimum Wage,"-$1,923.7",$15.72,$15.00,$15.00,$15.00,$15.00,$15.72,540,1,1998-03-23,17.827397260
Above,Facilities,Above Minimum Wage,"-$7,001.6",$17.62,$17.00,$17.00,$17.00,$17.00,$17.62,822,1,1998-04-15,17.767123288
Above,Marketing,Above Minimum Wage,"-$7,775.7",$17.91,$17.00,$17.00,$17.00,$17.00,$17.91,452,1,1998-04-17,17.761643836
Above,Purchasing,Above Minimum Wage,"-$11,771.6",$19.41,$19.00,$19.00,$19.00,$19.00,$19.41,151,1,1998-04-18,17.758904110
Above,Operations,Above Minimum Wage,"-$14,964.7",$20.61,$20.00,$20.00,$20.00,$20.00,$20.61,253,1,1998-05-11,17.695890411
Above,Services,Above Minimum Wage,"-$3,319.4",$16.24,$16.00,$16.00,$16.00,$16.00,$16.24,494,1,1998-05-12,17.693150685
Above,Marketing,Above Minimum Wage,"-$4,085.1",$16.53,$16.00,$16.00,$16.00,$16.00,$16.53,465,1,1998-05-31,17.643835616
Above,Finance,Above Minimum Wage,"-$21,366.0",$23.01,$23.00,$23.00,$23.00,$23.00,$23.01,556,1,1998-07-19,17.509589041
Above,Services,Above Minimum Wage,"-$4,296.4",$16.61,$16.00,$16.00,$16.00,$16.00,$16.61,79,1,1998-07-19,17.509589041
Above,Services,Above Minimum Wage,-$464.0,$15.17,$15.00,$15.00,$15.00,$15.00,$15.17,306,1,1998-07-24,17.495890411
Above,Supply Chain,Above Minimum Wage,"-$23,269.9",$23.72,$23.00,$23.00,$23.00,$23.00,$23.72,163,1,1998-07-24,17.495890411
Below,Logistics,Below Minimum Wage,"$1,873.2",$15.00,$14.00,$15.00,$14.00,$15.00,$14.30,87,1,1998-07-29,17.482191781
Below,Logistics,Below Minimum Wage,$489.9,$15.00,$14.00,$15.00,$14.00,$15.00,$14.82,94,1,1998-08-11,17.449315068
Above,Services,Above Minimum Wage,"-$16,880.9",$21.33,$21.00,$21.00,$21.00,$21.00,$21.33,263,1,1998-08-17,17.432876712
Below,Services,Below Minimum Wage,"$4,299.1",$15.00,$13.00,$15.00,$13.00,$15.00,$13.39,538,1,1998-08-20,17.424657534
Above,Facilities,Above Minimum Wage,"-$15,517.4",$20.82,$20.00,$20.00,$20.00,$20.00,$20.82,913,1,1998-09-11,17.367123288
Above,Human Resources,Above Minimum Wage,"-$10,726.3",$19.02,$19.00,$19.00,$19.00,$19.00,$19.02,713,1,1998-09-11,17.367123288
Above,Human Resources,Above Minimum Wage,"-$13,141.3",$19.93,$19.00,$19.00,$19.00,$19.00,$19.93,123,1,1998-09-18,17.347945205
Below,Services,Below Minimum Wage,"$7,436.0",$15.00,$12.00,$15.00,$12.00,$15.00,$12.21,392,1,1998-10-09,17.290410959
Above,Engineering,Above Minimum Wage,"-$12,968.2",$19.86,$19.00,$19.00,$19.00,$19.00,$19.86,578,1,1998-10-12,17.282191781
Below,Facilities,Below Minimum Wage,"$10,617.7",$15.00,$11.00,$15.00,$11.00,$15.00,$11.02,358,1,1998-10-12,17.282191781
Below,Operations,Below Minimum Wage,"$5,264.0",$15.00,$13.00,$15.00,$13.00,$15.00,$13.03,44,1,1998-10-22,17.254794521
Below,Logistics,Below Minimum Wage,$590.8,$15.00,$14.00,$15.00,$14.00,$15.00,$14.78,89,1,1998-10-26,17.243835616
Above,Marketing,Above Minimum Wage,"-$6,122.6",$17.30,$17.00,$17.00,$17.00,$17.00,$17.30,646,1,1998-11-13,17.197260274
Above,Supply Chain,Above Minimum Wage,"-$3,873.9",$16.45,$16.00,$16.00,$16.00,$16.00,$16.45,168,1,1998-11-13,17.197260274
Above,Customer Service,Above Minimum Wage,"-$6,580.5",$17.47,$17.00,$17.00,$17.00,$17.00,$17.47,559,1,1998-11-16,17.189041096
Above,Supply Chain,Above Minimum Wage,"-$31,427.9",$26.78,$26.00,$26.00,$26.00,$26.00,$26.78,247,1,1998-11-20,17.178082192
Above,Logistics,Above Minimum Wage,"-$3,709.0",$16.39,$16.00,$16.00,$16.00,$16.00,$16.39,98,1,1998-12-01,17.147945205
Below,Services,Below Minimum Wage,$960.1,$15.00,$14.00,$15.00,$14.00,$15.00,$14.64,33,1,1999-02-16,16.942465753
Below,Services,Below Minimum Wage,"$5,174.0",$15.00,$13.00,$15.00,$13.00,$15.00,$13.06,537,1,1999-02-19,16.934246575
Above,Services,Above Minimum Wage,"-$3,980.2",$16.49,$16.00,$16.00,$16.00,$16.00,$16.49,1,1,1999-03-02,16.898630137
Below,Facilities,Below Minimum Wage,"$13,050.1",$15.00,$10.00,$15.00,$10.00,$15.00,$10.11,360,1,1999-03-12,16.871232877
Below,Services,Below Minimum Wage,"$3,892.8",$15.00,$13.00,$15.00,$13.00,$15.00,$13.54,515,1,1999-03-19,16.852054795
Below,Facilities,Below Minimum Wage,"$4,871.8",$15.00,$13.00,$15.00,$13.00,$15.00,$13.17,484,1,1999-03-26,16.832876712
Below,Services,Below Minimum Wage,"$5,081.3",$15.00,$13.00,$15.00,$13.00,$15.00,$13.10,393,1,1999-03-26,16.832876712
Below,Services,Below Minimum Wage,"$1,995.9",$15.00,$14.00,$15.00,$14.00,$15.00,$14.25,32,1,1999-04-01,16.819178082
Below,Logistics,Below Minimum Wage,$64.7,$15.00,$14.00,$15.00,$14.00,$15.00,$14.98,925,1,1999-05-03,16.731506849
Above,Marketing,Above Minimum Wage,"-$12,957.3",$19.86,$19.00,$19.00,$19.00,$19.00,$19.86,111,1,1999-05-03,16.731506849
Above,Services,Above Minimum Wage,"-$10,183.9",$18.82,$18.00,$18.00,$18.00,$18.00,$18.82,288,1,1999-05-07,16.720547945
Above,Marketing,Above Minimum Wage,"-$11,669.4",$19.37,$19.00,$19.00,$19.00,$19.00,$19.37,4,1,1999-05-17,16.693150685
Below,Facilities,Below Minimum Wage,"$8,454.3",$15.00,$11.00,$15.00,$11.00,$15.00,$11.83,367,1,1999-06-14,16.619178082
Above,Logistics,Above Minimum Wage,"-$4,079.7",$16.53,$16.00,$16.00,$16.00,$16.00,$16.53,99,1,1999-06-14,16.619178082
Above,Marketing,Above Minimum Wage,"-$3,287.9",$16.23,$16.00,$16.00,$16.00,$16.00,$16.23,454,1,1999-06-25,16.589041096
Above,Facilities,Above Minimum Wage,"-$2,901.6",$16.09,$16.00,$16.00,$16.00,$16.00,$16.09,658,1,1999-07-12,16.542465753
Above,Services,Above Minimum Wage,"-$8,004.7",$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,297,1,1999-07-19,16.523287671
Above,Facilities,Above Minimum Wage,"-$12,987.5",$19.87,$19.00,$19.00,$19.00,$19.00,$19.87,882,1,1999-08-02,16.487671233
Above,Customer Service,Above Minimum Wage,"-$7,988.3",$17.99,$17.00,$17.00,$17.00,$17.00,$17.99,155,1,1999-08-17,16.446575342
Above,Customer Service,Above Minimum Wage,"-$8,215.9",$18.08,$18.00,$18.00,$18.00,$18.00,$18.08,157,1,1999-09-03,16.402739726
Below,Facilities,Below Minimum Wage,"$8,161.7",$15.00,$11.00,$15.00,$11.00,$15.00,$11.94,368,1,1999-09-10,16.383561644
Below,Facilities,Below Minimum Wage,"$12,510.9",$15.00,$10.00,$15.00,$10.00,$15.00,$10.31,369,1,1999-09-24,16.345205479
Above,Finance,Above Minimum Wage,"-$20,025.0",$22.51,$22.00,$22.00,$22.00,$22.00,$22.51,768,1,1999-09-24,16.345205479
Above,Human Resources,Above Minimum Wage,"-$17,262.5",$21.47,$21.00,$21.00,$21.00,$21.00,$21.47,135,1,1999-10-04,16.317808219
Below,Services,Below Minimum Wage,"$5,616.6",$15.00,$12.00,$15.00,$12.00,$15.00,$12.89,424,1,1999-10-08,16.306849315
Above,Services,Above Minimum Wage,"-$12,117.4",$19.54,$19.00,$19.00,$19.00,$19.00,$19.54,620,1,1999-10-11,16.298630137
Above,Services,Above Minimum Wage,"-$5,491.6",$17.06,$17.00,$17.00,$17.00,$17.00,$17.06,213,1,1999-11-12,16.213698630
Above,Facilities,Above Minimum Wage,"-$4,466.7",$16.67,$16.00,$16.00,$16.00,$16.00,$16.67,688,1,1999-11-18,16.197260274
Above,Customer Service,Above Minimum Wage,"-$1,953.6",$15.73,$15.00,$15.00,$15.00,$15.00,$15.73,840,1,2000-01-18,16.032876712
Below,Marketing,Below Minimum Wage,"$2,977.1",$15.00,$13.00,$15.00,$13.00,$15.00,$13.88,649,1,2000-02-29,15.917808219
Above,Research & Development,Above Minimum Wage,"-$14,786.2",$20.54,$20.00,$20.00,$20.00,$20.00,$20.54,25,1,2000-03-13,15.882191781
Above,Supply Chain,Above Minimum Wage,"-$5,453.4",$17.04,$17.00,$17.00,$17.00,$17.00,$17.04,179,1,2000-03-17,15.871232877
Above,Services,Above Minimum Wage,"-$3,997.9",$16.50,$16.00,$16.00,$16.00,$16.00,$16.50,206,1,2000-05-26,15.682191781
Below,Supply Chain,Below Minimum Wage,"$3,899.8",$15.00,$13.00,$15.00,$13.00,$15.00,$13.54,402,1,2000-06-02,15.665753425
Above,Supply Chain,Above Minimum Wage,"-$7,569.9",$17.84,$17.00,$17.00,$17.00,$17.00,$17.84,470,1,2000-07-11,15.558904110
Above,Services,Above Minimum Wage,"-$26,296.8",$24.86,$24.00,$24.00,$24.00,$24.00,$24.86,591,1,2000-08-10,15.479452055
Above,Research & Development,Above Minimum Wage,"-$9,779.1",$18.67,$18.00,$18.00,$18.00,$18.00,$18.67,259,1,2000-08-14,15.468493151
Below,Services,Below Minimum Wage,"$4,607.1",$15.00,$13.00,$15.00,$13.00,$15.00,$13.27,28,1,2000-09-15,15.383561644
Below,Facilities,Below Minimum Wage,"$8,011.0",$15.00,$11.00,$15.00,$11.00,$15.00,$12.00,781,1,2000-10-09,15.317808219
Below,Services,Below Minimum Wage,"$6,512.3",$15.00,$12.00,$15.00,$12.00,$15.00,$12.56,394,1,2000-11-11,15.230136986
Above,Services,Above Minimum Wage,"-$9,812.5",$18.68,$18.00,$18.00,$18.00,$18.00,$18.68,845,1,2000-11-24,15.194520548
Below,Facilities,Below Minimum Wage,"$6,167.3",$15.00,$12.00,$15.00,$12.00,$15.00,$12.69,481,1,2000-12-04,15.167123288
Above,Services,Above Minimum Wage,"-$6,181.2",$17.32,$17.00,$17.00,$17.00,$17.00,$17.32,709,1,2000-12-27,15.104109589
Above,Facilities,Above Minimum Wage,"-$12,766.5",$19.79,$19.00,$19.00,$19.00,$19.00,$19.79,829,1,2001-01-02,15.090410959
Above,Logistics,Above Minimum Wage,"-$2,269.8",$15.85,$15.00,$15.00,$15.00,$15.00,$15.85,95,1,2001-01-05,15.082191781
Below,Legal,Below Minimum Wage,"$9,262.6",$15.00,$11.00,$15.00,$11.00,$15.00,$11.53,62,1,2001-01-19,15.043835616
Above,Supply Chain,Above Minimum Wage,"-$16,572.9",$21.21,$21.00,$21.00,$21.00,$21.00,$21.21,677,1,2001-02-01,15.010958904
Above,Services,Above Minimum Wage,"-$1,185.0",$15.44,$15.00,$15.00,$15.00,$15.00,$15.44,207,1,2001-03-16,14.887671233
Above,Facilities,Above Minimum Wage,"-$8,179.6",$18.07,$18.00,$18.00,$18.00,$18.00,$18.07,418,1,2001-03-30,14.849315068
Above,Facilities,Above Minimum Wage,"-$5,745.7",$17.15,$17.00,$17.00,$17.00,$17.00,$17.15,878,1,2001-04-23,14.786301370
Above,Human Resources,Above Minimum Wage,"-$15,706.1",$20.89,$20.00,$20.00,$20.00,$20.00,$20.89,129,1,2001-04-27,14.775342466
Above,Marketing,Above Minimum Wage,"-$7,526.3",$17.82,$17.00,$17.00,$17.00,$17.00,$17.82,116,1,2001-05-27,14.693150685
Above,Research & Development,Above Minimum Wage,"-$28,125.8",$25.54,$25.00,$25.00,$25.00,$25.00,$25.54,260,1,2001-08-13,14.484931507
Above,Services,Above Minimum Wage,-$120.6,$15.05,$15.00,$15.00,$15.00,$15.00,$15.05,667,1,2001-08-17,14.473972603
Above,Research & Development,Above Minimum Wage,"-$16,964.0",$21.36,$21.00,$21.00,$21.00,$21.00,$21.36,203,1,2001-08-23,14.457534247
Above,Customer Service,Above Minimum Wage,"-$10,010.8",$18.75,$18.00,$18.00,$18.00,$18.00,$18.75,162,1,2001-08-31,14.438356164
Below,Information Technology,Below Minimum Wage,$600.3,$15.00,$14.00,$15.00,$14.00,$15.00,$14.77,65,1,2001-09-11,14.408219178
Above,Logistics,Above Minimum Wage,"-$3,343.7",$16.25,$16.00,$16.00,$16.00,$16.00,$16.25,96,1,2001-09-28,14.361643836
Below,Facilities,Below Minimum Wage,"$11,684.8",$15.00,$10.00,$15.00,$10.00,$15.00,$10.62,370,1,2001-10-08,14.334246575
Below,Services,Below Minimum Wage,"$7,779.7",$15.00,$12.00,$15.00,$12.00,$15.00,$12.08,318,1,2001-10-11,14.326027397
Above,Supply Chain,Above Minimum Wage,"-$18,302.4",$21.86,$21.00,$21.00,$21.00,$21.00,$21.86,752,1,2001-10-16,14.312328767
Below,Services,Below Minimum Wage,"$3,323.3",$15.00,$13.00,$15.00,$13.00,$15.00,$13.75,707,1,2001-10-26,14.284931507
Below,Human Resources,Below Minimum Wage,$470.9,$15.00,$14.00,$15.00,$14.00,$15.00,$14.82,682,1,2001-10-29,14.276712329
Above,Information Technology,Above Minimum Wage,"-$16,717.4",$21.27,$21.00,$21.00,$21.00,$21.00,$21.27,550,1,2001-11-27,14.2
Above,Research & Development,Above Minimum Wage,"-$19,321.8",$22.24,$22.00,$22.00,$22.00,$22.00,$22.24,274,1,2002-01-18,14.060273973
Below,Services,Below Minimum Wage,"$10,257.1",$15.00,$11.00,$15.00,$11.00,$15.00,$11.16,323,1,2002-01-18,14.060273973
Above,Supply Chain,Above Minimum Wage,"-$1,077.3",$15.40,$15.00,$15.00,$15.00,$15.00,$15.40,574,1,2002-01-18,14.060273973
Above,Facilities,Above Minimum Wage,"-$21,772.8",$23.16,$23.00,$23.00,$23.00,$23.00,$23.16,885,1,2002-02-01,14.024657534
Below,Services,Below Minimum Wage,"$10,402.8",$15.00,$11.00,$15.00,$11.00,$15.00,$11.10,322,1,2002-02-15,13.986301370
Above,Information Technology,Above Minimum Wage,"-$5,696.0",$17.14,$17.00,$17.00,$17.00,$17.00,$17.14,18,1,2002-02-18,13.978082192
Above,Services,Above Minimum Wage,"-$8,400.7",$18.15,$18.00,$18.00,$18.00,$18.00,$18.15,516,1,2002-03-08,13.923287671
Below,Facilities,Below Minimum Wage,"$2,515.7",$15.00,$14.00,$15.00,$14.00,$15.00,$14.06,888,1,2002-03-11,13.915068493
Above,Facilities,Above Minimum Wage,"-$2,059.6",$15.77,$15.00,$15.00,$15.00,$15.00,$15.77,675,1,2002-03-15,13.904109589
Above,Research & Development,Above Minimum Wage,"-$23,936.4",$23.97,$23.00,$23.00,$23.00,$23.00,$23.97,275,1,2002-03-15,13.904109589
Below,Facilities,Below Minimum Wage,"$11,684.8",$15.00,$10.00,$15.00,$10.00,$15.00,$10.62,371,1,2002-04-22,13.802739726
Above,Facilities,Above Minimum Wage,"-$5,020.0",$16.88,$16.00,$16.00,$16.00,$16.00,$16.88,883,1,2002-04-29,13.783561644
Above,Facilities,Above Minimum Wage,"-$11,930.9",$19.47,$19.00,$19.00,$19.00,$19.00,$19.47,859,1,2002-04-29,13.783561644
Above,Services,Above Minimum Wage,"-$9,136.6",$18.42,$18.00,$18.00,$18.00,$18.00,$18.42,563,1,2002-05-06,13.764383562
Above,Facilities,Above Minimum Wage,"-$11,962.8",$19.48,$19.00,$19.00,$19.00,$19.00,$19.48,832,1,2002-06-03,13.690410959
Below,Information Technology,Below Minimum Wage,"$6,302.5",$15.00,$12.00,$15.00,$12.00,$15.00,$12.64,60,1,2002-06-07,13.679452055
Above,Information Technology,Above Minimum Wage,"-$16,705.1",$21.26,$21.00,$21.00,$21.00,$21.00,$21.26,551,1,2002-06-21,13.641095890
Below,Facilities,Below Minimum Wage,"$6,646.4",$15.00,$12.00,$15.00,$12.00,$15.00,$12.51,777,1,2002-07-12,13.583561644
Above,Supply Chain,Above Minimum Wage,"-$5,145.4",$16.93,$16.00,$16.00,$16.00,$16.00,$16.93,708,1,2002-07-31,13.534246575
Below,Services,Below Minimum Wage,$45.7,$15.00,$14.00,$15.00,$14.00,$15.00,$14.98,231,1,2002-08-01,13.531506849
Below,Services,Below Minimum Wage,"$6,502.1",$15.00,$12.00,$15.00,$12.00,$15.00,$12.56,395,1,2002-08-02,13.528767123
Below,Services,Below Minimum Wage,"$6,229.2",$15.00,$12.00,$15.00,$12.00,$15.00,$12.67,523,1,2002-08-16,13.490410959
Below,Facilities,Below Minimum Wage,"$2,565.6",$15.00,$14.00,$15.00,$14.00,$15.00,$14.04,821,1,2002-08-23,13.471232877
Above,Operations,Above Minimum Wage,"-$12,613.8",$19.73,$19.00,$19.00,$19.00,$19.00,$19.73,184,1,2002-08-26,13.463013699
Above,Human Resources,Above Minimum Wage,"-$16,945.0",$21.35,$21.00,$21.00,$21.00,$21.00,$21.35,583,1,2002-08-29,13.454794521
Above,Research & Development,Above Minimum Wage,"-$17,937.1",$21.72,$21.00,$21.00,$21.00,$21.00,$21.72,661,1,2002-08-30,13.452054795
Below,Services,Below Minimum Wage,"$2,408.8",$15.00,$14.00,$15.00,$14.00,$15.00,$14.10,517,1,2002-09-01,13.449315068
Above,Services,Above Minimum Wage,"-$15,019.3",$20.63,$20.00,$20.00,$20.00,$20.00,$20.63,602,1,2002-09-09,13.427397260
Above,Supply Chain,Above Minimum Wage,"-$18,500.0",$21.93,$21.00,$21.00,$21.00,$21.00,$21.93,172,1,2002-09-25,13.383561644
Above,Facilities,Above Minimum Wage,"-$10,682.4",$19.00,$19.00,$19.00,$19.00,$19.00,$19.00,880,1,2002-11-18,13.238356164
Above,Services,Above Minimum Wage,"-$3,845.3",$16.44,$16.00,$16.00,$16.00,$16.00,$16.44,211,1,2002-11-25,13.219178082
Above,Engineering,Above Minimum Wage,"-$4,085.1",$16.53,$16.00,$16.00,$16.00,$16.00,$16.53,22,1,2002-12-06,13.189041096
Above,Customer Service,Above Minimum Wage,"-$6,703.2",$17.51,$17.00,$17.00,$17.00,$17.00,$17.51,696,1,2003-01-31,13.041095890
Above,Services,Above Minimum Wage,"-$4,701.8",$16.76,$16.00,$16.00,$16.00,$16.00,$16.76,846,1,2003-02-13,13.005479452
Above,Services,Above Minimum Wage,-$868.8,$15.33,$15.00,$15.00,$15.00,$15.00,$15.33,278,1,2003-03-05,12.945205479
Below,Facilities,Below Minimum Wage,"$8,533.6",$15.00,$11.00,$15.00,$11.00,$15.00,$11.80,773,1,2003-03-17,12.912328767
Above,Services,Above Minimum Wage,"-$18,756.2",$22.03,$22.00,$22.00,$22.00,$22.00,$22.03,904,1,2003-04-14,12.838356164
Above,Services,Above Minimum Wage,"-$13,302.1",$19.99,$19.00,$19.00,$19.00,$19.00,$19.99,295,1,2003-04-25,12.808219178
Above,Marketing,Above Minimum Wage,"-$3,478.7",$16.30,$16.00,$16.00,$16.00,$16.00,$16.30,308,1,2003-05-09,12.769863014
Below,Facilities,Below Minimum Wage,"$12,241.3",$15.00,$10.00,$15.00,$10.00,$15.00,$10.41,372,1,2003-06-13,12.676712329
Below,Services,Below Minimum Wage,"$10,400.2",$15.00,$11.00,$15.00,$11.00,$15.00,$11.10,324,1,2003-06-25,12.643835616
Above,Services,Above Minimum Wage,-$220.8,$15.08,$15.00,$15.00,$15.00,$15.00,$15.08,534,1,2003-06-30,12.630136986
Above,Facilities,Above Minimum Wage,-$439.5,$15.16,$15.00,$15.00,$15.00,$15.00,$15.16,805,1,2003-08-11,12.517808219
Above,Facilities,Above Minimum Wage,"-$7,001.6",$17.62,$17.00,$17.00,$17.00,$17.00,$17.62,886,1,2003-08-25,12.479452055
Below,Services,Below Minimum Wage,"$4,175.3",$15.00,$13.00,$15.00,$13.00,$15.00,$13.43,519,1,2003-08-28,12.471232877
Above,Facilities,Above Minimum Wage,"-$5,927.1",$17.22,$17.00,$17.00,$17.00,$17.00,$17.22,806,1,2003-09-05,12.452054795
Above,Marketing,Above Minimum Wage,"-$12,627.5",$19.73,$19.00,$19.00,$19.00,$19.00,$19.73,635,1,2003-09-05,12.452054795
Above,Services,Above Minimum Wage,"-$16,275.8",$21.10,$21.00,$21.00,$21.00,$21.00,$21.10,235,1,2003-09-12,12.432876712
