Below or Above,Budget Area,Below Minimum Wage,Wage Correction,Hrly Correction,Hrly Rate Bin Size,Hrly Correction (bin),Hrly Rate (bin),Hrly Rate Correction Bin Size,Hrly Rate,ID,레코드 수,Service Dt,Service Time in Years
Above,Services,Above Minimum Wage,"-$19,603.9",$22.35,$22.00,$22.00,$22.00,$22.00,$22.35,294,1,1987-08-25,28.260273973
Above,Supply Chain,Above Minimum Wage,"-$34,228.6",$27.83,$27.00,$27.00,$27.00,$27.00,$27.83,595,1,1987-08-31,28.246575342
Above,Human Resources,Above Minimum Wage,"-$15,440.4",$20.79,$20.00,$20.00,$20.00,$20.00,$20.79,124,1,1987-09-04,28.235616438
Above,Services,Above Minimum Wage,"-$7,086.1",$17.66,$17.00,$17.00,$17.00,$17.00,$17.66,680,1,1988-02-19,27.783561644
Above,Services,Above Minimum Wage,-$868.8,$15.33,$15.00,$15.00,$15.00,$15.00,$15.33,783,1,1988-04-01,27.668493151
Above,Services,Above Minimum Wage,"-$12,273.3",$19.60,$19.00,$19.00,$19.00,$19.00,$19.60,843,1,1988-04-04,27.660273973
Below,Research & Development,Below Minimum Wage,$987.4,$15.00,$14.00,$15.00,$14.00,$15.00,$14.63,536,1,1988-05-09,27.564383562
Below,Operations,Below Minimum Wage,"$2,145.8",$15.00,$14.00,$15.00,$14.00,$15.00,$14.20,45,1,1988-05-13,27.553424658
Above,Marketing,Above Minimum Wage,"-$39,188.0",$29.69,$29.00,$29.00,$29.00,$29.00,$29.69,244,1,1988-05-27,27.515068493
Below,Logistics,Below Minimum Wage,"$4,162.8",$15.00,$13.00,$15.00,$13.00,$15.00,$13.44,924,1,1988-06-13,27.471232877
Above,Supply Chain,Above Minimum Wage,"-$25,817.1",$24.68,$24.00,$24.00,$24.00,$24.00,$24.68,663,1,1988-06-20,27.452054795
Above,Services,Above Minimum Wage,"-$19,721.1",$22.39,$22.00,$22.00,$22.00,$22.00,$22.39,436,1,1988-06-27,27.432876712
Above,Services,Above Minimum Wage,"-$5,888.2",$17.21,$17.00,$17.00,$17.00,$17.00,$17.21,681,1,1988-08-12,27.309589041
Above,Customer Service,Above Minimum Wage,"-$11,527.6",$19.32,$19.00,$19.00,$19.00,$19.00,$19.32,161,1,1988-08-15,27.301369863
Above,Services,Above Minimum Wage,"-$14,506.8",$20.44,$20.00,$20.00,$20.00,$20.00,$20.44,839,1,1988-08-15,27.301369863
Below,Logistics,Below Minimum Wage,"$3,264.7",$15.00,$13.00,$15.00,$13.00,$15.00,$13.78,920,1,1988-08-17,27.295890411
Above,Purchasing,Above Minimum Wage,"-$7,993.8",$18.00,$17.00,$17.00,$17.00,$17.00,$18.00,148,1,1988-09-07,27.241095890
Above,Services,Above Minimum Wage,"-$2,418.6",$15.91,$15.00,$15.00,$15.00,$15.00,$15.91,423,1,1988-10-07,27.158904110
Above,Human Resources,Above Minimum Wage,"-$15,263.2",$20.72,$20.00,$20.00,$20.00,$20.00,$20.72,11,1,1988-10-24,27.112328767
Above,Supply Chain,Above Minimum Wage,"-$9,005.0",$18.38,$18.00,$18.00,$18.00,$18.00,$18.38,178,1,1988-11-11,27.065753425
Below,Services,Below Minimum Wage,$964.2,$15.00,$14.00,$15.00,$14.00,$15.00,$14.64,919,1,1988-11-25,27.027397260
Above,Marketing,Above Minimum Wage,"-$17,317.0",$21.49,$21.00,$21.00,$21.00,$21.00,$21.49,692,1,1988-12-19,26.961643836
Below,Facilities,Below Minimum Wage,"$6,002.5",$15.00,$12.00,$15.00,$12.00,$15.00,$12.75,363,1,1989-01-02,26.926027397
Above,Operations,Above Minimum Wage,"-$25,890.7",$24.70,$24.00,$24.00,$24.00,$24.00,$24.70,185,1,1989-01-12,26.898630137
Above,Facilities,Above Minimum Wage,"-$4,275.1",$16.60,$16.00,$16.00,$16.00,$16.00,$16.60,405,1,1989-02-10,26.821917808
Below,Logistics,Below Minimum Wage,"$4,774.7",$15.00,$13.00,$15.00,$13.00,$15.00,$13.21,922,1,1989-02-20,26.794520548
Above,Services,Above Minimum Wage,"-$19,087.4",$22.15,$22.00,$22.00,$22.00,$22.00,$22.15,435,1,1989-02-21,26.791780822
Above,Services,Above Minimum Wage,"-$3,345.1",$16.25,$16.00,$16.00,$16.00,$16.00,$16.25,30,1,1989-02-22,26.789041096
Above,Facilities,Above Minimum Wage,"-$21,463.6",$23.05,$23.00,$23.00,$23.00,$23.00,$23.05,898,1,1989-04-03,26.676712329
Above,Facilities,Above Minimum Wage,"-$14,470.9",$20.42,$20.00,$20.00,$20.00,$20.00,$20.42,892,1,1989-05-29,26.523287671
Above,Logistics,Above Minimum Wage,"-$14,855.7",$20.57,$20.00,$20.00,$20.00,$20.00,$20.57,239,1,1989-06-26,26.449315068
Above,Facilities,Above Minimum Wage,"-$18,080.3",$21.78,$21.00,$21.00,$21.00,$21.00,$21.78,896,1,1989-07-05,26.424657534
Above,Logistics,Above Minimum Wage,"-$4,093.3",$16.53,$16.00,$16.00,$16.00,$16.00,$16.53,91,1,1989-07-31,26.356164384
Above,Information Technology,Above Minimum Wage,"-$14,945.7",$20.60,$20.00,$20.00,$20.00,$20.00,$20.60,757,1,1989-08-09,26.331506849
Above,Human Resources,Above Minimum Wage,"-$12,582.5",$19.72,$19.00,$19.00,$19.00,$19.00,$19.72,128,1,1989-08-21,26.298630137
Above,Services,Above Minimum Wage,"-$1,655.9",$15.62,$15.00,$15.00,$15.00,$15.00,$15.62,420,1,1989-08-25,26.287671233
Above,Supply Chain,Above Minimum Wage,"-$7,700.8",$17.89,$17.00,$17.00,$17.00,$17.00,$17.89,169,1,1989-09-04,26.263013699
Above,Services,Above Minimum Wage,"-$23,312.2",$23.74,$23.00,$23.00,$23.00,$23.00,$23.74,287,1,1989-09-15,26.232876712
Above,Information Technology,Above Minimum Wage,"-$13,159.0",$19.93,$19.00,$19.00,$19.00,$19.00,$19.93,271,1,1989-09-20,26.219178082
Above,Services,Above Minimum Wage,"-$8,758.3",$18.28,$18.00,$18.00,$18.00,$18.00,$18.28,212,1,1989-11-24,26.043835616
Above,Purchasing,Above Minimum Wage,"-$13,641.4",$20.11,$20.00,$20.00,$20.00,$20.00,$20.11,142,1,1989-12-08,26.005479452
Above,Services,Above Minimum Wage,"-$2,959.1",$16.11,$16.00,$16.00,$16.00,$16.00,$16.11,421,1,1989-12-08,26.005479452
Above,Services,Above Minimum Wage,"-$14,362.4",$20.38,$20.00,$20.00,$20.00,$20.00,$20.38,659,1,1989-12-09,26.002739726
Above,Human Resources,Above Minimum Wage,"-$9,780.5",$18.67,$18.00,$18.00,$18.00,$18.00,$18.67,570,1,1990-01-02,25.939726027
Above,Services,Above Minimum Wage,"-$27,570.8",$25.33,$25.00,$25.00,$25.00,$25.00,$25.33,900,1,1990-02-19,25.810958904
Above,Marketing,Above Minimum Wage,"-$7,380.5",$17.77,$17.00,$17.00,$17.00,$17.00,$17.77,647,1,1990-02-20,25.808219178
Above,Supply Chain,Above Minimum Wage,"-$12,758.3",$19.78,$19.00,$19.00,$19.00,$19.00,$19.78,170,1,1990-03-02,25.775342466
Above,Services,Above Minimum Wage,"-$11,690.7",$19.38,$19.00,$19.00,$19.00,$19.00,$19.38,844,1,1990-04-09,25.673972603
Above,Services,Above Minimum Wage,"-$6,267.0",$17.35,$17.00,$17.00,$17.00,$17.00,$17.35,433,1,1990-04-18,25.649315068
Above,Services,Above Minimum Wage,"-$8,004.7",$18.00,$18.00,$18.00,$18.00,$18.00,$18.00,450,1,1990-04-27,25.624657534
Above,Services,Above Minimum Wage,"-$2,651.4",$15.99,$15.00,$15.00,$15.00,$15.00,$15.99,705,1,1990-04-30,25.616438356
Above,Facilities,Above Minimum Wage,"-$26,460.5",$24.92,$24.00,$24.00,$24.00,$24.00,$24.92,434,1,1990-05-18,25.567123288
Above,Services,Above Minimum Wage,"-$6,426.7",$17.41,$17.00,$17.00,$17.00,$17.00,$17.41,903,1,1990-06-10,25.506849315
Above,Services,Above Minimum Wage,"-$9,550.1",$18.58,$18.00,$18.00,$18.00,$18.00,$18.58,265,1,1990-06-26,25.463013699
Below,Supply Chain,Below Minimum Wage,"$1,663.4",$15.00,$14.00,$15.00,$14.00,$15.00,$14.38,676,1,1990-07-18,25.402739726
Above,Supply Chain,Above Minimum Wage,"-$13,576.0",$20.09,$20.00,$20.00,$20.00,$20.00,$20.09,594,1,1990-07-20,25.397260274
Above,Facilities,Above Minimum Wage,"-$14,668.9",$20.50,$20.00,$20.00,$20.00,$20.00,$20.50,917,1,1990-07-23,25.389041096
Below,Facilities,Below Minimum Wage,"$6,862.6",$15.00,$12.00,$15.00,$12.00,$15.00,$12.43,350,1,1990-08-06,25.353424658
Above,Information Technology,Above Minimum Wage,"-$18,696.2",$22.01,$22.00,$22.00,$22.00,$22.00,$22.01,233,1,1990-09-05,25.273972603
Above,Human Resources,Above Minimum Wage,"-$23,534.3",$23.82,$23.00,$23.00,$23.00,$23.00,$23.82,582,1,1990-09-25,25.219178082
Above,Operations,Above Minimum Wage,"-$16,339.9",$21.12,$21.00,$21.00,$21.00,$21.00,$21.12,75,1,1990-10-14,25.167123288
Above,Services,Above Minimum Wage,"-$16,444.8",$21.16,$21.00,$21.00,$21.00,$21.00,$21.16,837,1,1990-10-15,25.164383562
Above,Marketing,Above Minimum Wage,-$455.9,$15.17,$15.00,$15.00,$15.00,$15.00,$15.17,113,1,1990-10-29,25.126027397
Above,Services,Above Minimum Wage,"-$6,874.9",$17.58,$17.00,$17.00,$17.00,$17.00,$17.58,72,1,1990-11-01,25.120547945
Above,Operations,Above Minimum Wage,"-$3,594.5",$16.35,$16.00,$16.00,$16.00,$16.00,$16.35,190,1,1990-12-11,25.010958904
Below,Services,Below Minimum Wage,"$3,535.9",$15.00,$13.00,$15.00,$13.00,$15.00,$13.67,305,1,1991-01-04,24.947945205
Above,Facilities,Above Minimum Wage,"-$19,778.3",$22.41,$22.00,$22.00,$22.00,$22.00,$22.41,910,1,1991-01-21,24.901369863
Below,Services,Below Minimum Wage,"$8,151.5",$15.00,$11.00,$15.00,$11.00,$15.00,$11.94,317,1,1991-02-08,24.854794521
Above,Services,Above Minimum Wage,"-$26,852.9",$25.07,$25.00,$25.00,$25.00,$25.00,$25.07,600,1,1991-02-15,24.835616438
Above,Facilities,Above Minimum Wage,"-$7,204.8",$17.70,$17.00,$17.00,$17.00,$17.00,$17.70,831,1,1991-04-01,24.709589041
Above,Human Resources,Above Minimum Wage,"-$10,027.1",$18.76,$18.00,$18.00,$18.00,$18.00,$18.76,126,1,1991-05-04,24.619178082
Above,Services,Above Minimum Wage,"-$13,768.2",$20.16,$20.00,$20.00,$20.00,$20.00,$20.16,296,1,1991-05-11,24.6
Above,Supply Chain,Above Minimum Wage,"-$13,705.5",$20.14,$20.00,$20.00,$20.00,$20.00,$20.14,246,1,1991-06-30,24.465753425
Above,Human Resources,Above Minimum Wage,"-$30,456.2",$26.42,$26.00,$26.00,$26.00,$26.00,$26.42,580,1,1991-07-19,24.413698630
Above,Logistics,Above Minimum Wage,"-$9,990.3",$18.74,$18.00,$18.00,$18.00,$18.00,$18.74,108,1,1991-08-01,24.380821918
Below,Legal,Below Minimum Wage,$969.8,$15.00,$14.00,$15.00,$14.00,$15.00,$14.64,61,1,1991-08-02,24.378082192
Above,Services,Above Minimum Wage,"-$7,935.2",$17.97,$17.00,$17.00,$17.00,$17.00,$17.97,726,1,1991-08-02,24.378082192
Above,Facilities,Above Minimum Wage,"-$14,298.4",$20.36,$20.00,$20.00,$20.00,$20.00,$20.36,916,1,1991-08-12,24.350684932
Below,Services,Below Minimum Wage,"$1,719.7",$15.00,$14.00,$15.00,$14.00,$15.00,$14.36,422,1,1991-09-03,24.293150685
Below,Facilities,Below Minimum Wage,"$1,930.6",$15.00,$14.00,$15.00,$14.00,$15.00,$14.28,762,1,1991-09-30,24.219178082
Above,Facilities,Above Minimum Wage,"-$20,322.6",$22.62,$22.00,$22.00,$22.00,$22.00,$22.62,893,1,1991-10-07,24.2
Above,Marketing,Above Minimum Wage,"-$3,894.3",$16.46,$16.00,$16.00,$16.00,$16.00,$16.46,453,1,1991-10-07,24.2
Above,Supply Chain,Above Minimum Wage,"-$5,697.4",$17.14,$17.00,$17.00,$17.00,$17.00,$17.14,181,1,1991-10-19,24.167123288
Above,Supply Chain,Above Minimum Wage,"-$31,925.4",$26.97,$26.00,$26.00,$26.00,$26.00,$26.97,587,1,1992-01-16,23.928767123
Above,Operations,Above Minimum Wage,"-$22,279.1",$23.35,$23.00,$23.00,$23.00,$23.00,$23.35,725,1,1992-01-17,23.926027397
Above,Finance,Above Minimum Wage,"-$5,587.0",$17.09,$17.00,$17.00,$17.00,$17.00,$17.09,198,1,1992-03-16,23.764383562
Above,Facilities,Above Minimum Wage,"-$9,980.8",$18.74,$18.00,$18.00,$18.00,$18.00,$18.74,76,1,1992-03-27,23.734246575
Below,Services,Below Minimum Wage,"$6,015.3",$15.00,$12.00,$15.00,$12.00,$15.00,$12.75,388,1,1992-05-11,23.613698630
Above,Purchasing,Above Minimum Wage,"-$4,890.6",$16.83,$16.00,$16.00,$16.00,$16.00,$16.83,137,1,1992-08-02,23.391780822
Below,Facilities,Below Minimum Wage,"$7,976.6",$15.00,$12.00,$15.00,$12.00,$15.00,$12.01,361,1,1992-08-17,23.350684932
Above,Human Resources,Above Minimum Wage,"-$19,688.4",$22.38,$22.00,$22.00,$22.00,$22.00,$22.38,130,1,1992-09-14,23.276712329
Below,Services,Below Minimum Wage,"$8,718.8",$15.00,$11.00,$15.00,$11.00,$15.00,$11.73,321,1,1992-10-03,23.224657534
Below,Facilities,Below Minimum Wage,"$4,455.2",$15.00,$13.00,$15.00,$13.00,$15.00,$13.33,366,1,1992-10-05,23.219178082
Above,Services,Above Minimum Wage,"-$9,513.4",$18.57,$18.00,$18.00,$18.00,$18.00,$18.57,286,1,1992-11-21,23.093150685
Above,Facilities,Above Minimum Wage,"-$6,261.9",$17.35,$17.00,$17.00,$17.00,$17.00,$17.35,678,1,1992-12-27,22.994520548
Above,Customer Service,Above Minimum Wage,"-$21,156.2",$22.93,$22.00,$22.00,$22.00,$22.00,$22.93,664,1,1993-01-11,22.956164384
Above,Facilities,Above Minimum Wage,"-$10,787.4",$19.04,$19.00,$19.00,$19.00,$19.00,$19.04,895,1,1993-02-15,22.863013699
Above,Facilities,Above Minimum Wage,"-$11,336.8",$19.25,$19.00,$19.00,$19.00,$19.00,$19.25,889,1,1993-03-01,22.819178082
Above,Information Technology,Above Minimum Wage,"-$9,585.6",$18.59,$18.00,$18.00,$18.00,$18.00,$18.59,545,1,1993-03-12,22.789041096
Above,Services,Above Minimum Wage,"-$2,077.7",$15.78,$15.00,$15.00,$15.00,$15.00,$15.78,29,1,1993-06-04,22.564383562
Below,Services,Below Minimum Wage,"$7,358.7",$15.00,$12.00,$15.00,$12.00,$15.00,$12.24,27,1,1993-06-23,22.512328767
Above,Purchasing,Above Minimum Wage,"-$11,977.4",$19.49,$19.00,$19.00,$19.00,$19.00,$19.49,74,1,1993-07-03,22.484931507
Above,Marketing,Above Minimum Wage,"-$7,728.0",$17.90,$17.00,$17.00,$17.00,$17.00,$17.90,630,1,1993-07-07,22.473972603
Above,Facilities,Above Minimum Wage,"-$4,617.5",$16.73,$16.00,$16.00,$16.00,$16.00,$16.73,815,1,1993-09-10,22.301369863
Above,Facilities,Above Minimum Wage,"-$9,160.4",$18.43,$18.00,$18.00,$18.00,$18.00,$18.43,221,1,1993-09-29,22.249315068
Above,Customer Service,Above Minimum Wage,"-$7,683.0",$17.88,$17.00,$17.00,$17.00,$17.00,$17.88,747,1,1993-10-28,22.169863014
Above,Services,Above Minimum Wage,"-$25,538.0",$24.57,$24.00,$24.00,$24.00,$24.00,$24.57,901,1,1993-10-29,22.167123288
Above,Customer Service,Above Minimum Wage,"-$18,450.9",$21.92,$21.00,$21.00,$21.00,$21.00,$21.92,749,1,1993-11-24,22.098630137
Above,Operations,Above Minimum Wage,"-$10,485.1",$18.93,$18.00,$18.00,$18.00,$18.00,$18.93,191,1,1994-02-02,21.912328767
Above,Facilities,Above Minimum Wage,"-$1,650.7",$15.62,$15.00,$15.00,$15.00,$15.00,$15.62,428,1,1994-02-11,21.887671233
Above,Services,Above Minimum Wage,"-$11,133.8",$19.17,$19.00,$19.00,$19.00,$19.00,$19.17,389,1,1994-02-11,21.887671233
Above,Marketing,Above Minimum Wage,"-$1,764.2",$15.66,$15.00,$15.00,$15.00,$15.00,$15.66,648,1,1994-03-07,21.816438356
Above,Services,Above Minimum Wage,"-$4,017.0",$16.51,$16.00,$16.00,$16.00,$16.00,$16.51,489,1,1994-04-08,21.731506849
